model,scramble,solve_rate,avg_steps
ppo_cube_126001920_steps.zip,10,0.52,105.23076923076923
ppo_cube_126001920_steps.zip,12,0.41,190.02439024390245
ppo_cube_126001920_steps.zip,15,0.4,191.55
ppo_cube_126001920_steps.zip,17,0.3,319.0
ppo_cube_126001920_steps.zip,20,0.29,309.44827586206895
ppo_cube_126001920_steps.zip,25,0.26,395.88461538461536
ppo_cube_126801920_steps.zip,1,1.0,1.0
ppo_cube_126801920_steps.zip,2,0.91,1.6043956043956045
ppo_cube_126801920_steps.zip,3,0.91,3.5604395604395602
ppo_cube_126801920_steps.zip,5,0.81,12.0
ppo_cube_126801920_steps.zip,7,0.7,44.285714285714285
ppo_cube_126801920_steps.zip,10,0.56,86.91071428571429
ppo_cube_126801920_steps.zip,12,0.44,170.6818181818182
ppo_cube_126801920_steps.zip,15,0.33,263.93939393939394
ppo_cube_126801920_steps.zip,17,0.31,304.0967741935484
ppo_cube_126801920_steps.zip,20,0.26,368.34615384615387
ppo_cube_126801920_steps.zip,25,0.18,629.8333333333334
ppo_cube_127601920_steps.zip,1,1.0,1.0
ppo_cube_127601920_steps.zip,2,0.94,1.627659574468085
ppo_cube_127601920_steps.zip,3,0.95,3.3684210526315788
ppo_cube_127601920_steps.zip,5,0.84,13.571428571428571
ppo_cube_127601920_steps.zip,7,0.67,46.26865671641791
ppo_cube_127601920_steps.zip,10,0.53,108.18867924528301
ppo_cube_127601920_steps.zip,12,0.51,121.56862745098039
ppo_cube_127601920_steps.zip,15,0.36,220.77777777777777
ppo_cube_127601920_steps.zip,17,0.32,298.46875
ppo_cube_127601920_steps.zip,20,0.25,406.0
ppo_cube_127601920_steps.zip,25,0.25,424.0
ppo_cube_128401920_steps.zip,1,1.0,1.0
ppo_cube_128401920_steps.zip,2,0.93,1.5913978494623655
ppo_cube_128401920_steps.zip,3,0.92,2.0434782608695654
ppo_cube_128401920_steps.zip,5,0.88,9.693181818181818
ppo_cube_128401920_steps.zip,7,0.67,47.80597014925373
ppo_cube_128401920_steps.zip,10,0.53,102.94339622641509
ppo_cube_128401920_steps.zip,12,0.48,132.22916666666666
ppo_cube_128401920_steps.zip,15,0.43,181.4418604651163
ppo_cube_128401920_steps.zip,17,0.27,376.3703703703704
ppo_cube_128401920_steps.zip,20,0.24,417.4166666666667
ppo_cube_128401920_steps.zip,25,0.16,772.125
ppo_cube_129201920_steps.zip,1,1.0,1.0
ppo_cube_129201920_steps.zip,2,0.97,1.5360824742268042
ppo_cube_129201920_steps.zip,3,0.97,1.865979381443299
ppo_cube_129201920_steps.zip,5,0.85,11.411764705882353
ppo_cube_129201920_steps.zip,7,0.67,41.776119402985074
ppo_cube_129201920_steps.zip,10,0.53,105.60377358490567
ppo_cube_129201920_steps.zip,12,0.38,220.6315789473684
ppo_cube_129201920_steps.zip,15,0.42,168.52380952380952
ppo_cube_129201920_steps.zip,17,0.34,260.70588235294116
